"ID";"COMPANYID";"ZIP";"CITY";"STREET";"STREETNUMBER"
368;368;"35394";"Giessen";"Schiffenberger Weg";"55"
376;376;"10785";"Berlin";"Linkstr.";"10"
377;377;"96052";"Bamberg";"Dr.-Robert-Pfleger-Str.";"12"
380;380;"76275";"Ettlingen";"Rudolf-Plank-Str.";"31"
397;397;"21244";"Buchholz";"Zunftstr.";"18"
398;398;"71149";"Bondorf";"Benzstraße";"10"
401;401;"25551";"Hohenlockstedt";"Kieler Str.";"11"
403;403;"20457";"Hamburg";"Ericusspitze";"2"
404;404;"85737";"Ismaning";"Adalperostraße";"37"
406;406;"89079";"Ulm";"Graf-Arco-Str.";"3"
408;408;"76532";"Baden-Baden";"Braunmattstr.";"20"
412;412;"30855";"Langenhagen";"Alt-Godshorn";"87"
413;413;"90571";"Schwaig";"Laufer Str.";"17-19"
419;419;"69412";"Eberbach";"Klausenweg";"12"
420;420;"79111";"Freiburg";"Jechtinger Str.";"13"
421;421;"73730";"Esslingen";"Alleenstrasse";"22-26"
422;422;"79639";"Grenzach-Wyhlen";"Emil-Barell-Straße";"1"
426;426;"28355";"Bremen";"Rockwinkeler Heerstraße";"100"
431;431;"15562";"Rüdersdorf bei Berlin";"Maienbergstraße";"10-12"
432;432;"66578";"Schiffweiler";"Robert-Koch-Straße";""
443;443;"38259";"Salzgitter";"Bahnhofstr.";"35"
444;444;"22763";"Hamburg";"Griegstraße, Haus 25";"75"
452;452;"90571";"Schwaig b. Nürnberg";"Industriestr.";"11"
453;453;"22851";"Norderstedt";"Robert-Koch-Str.";"2"
459;459;"93183";"Kallmünz";"Marktplatz";"4"
462;462;"95119";"Naila";"Zum Kugelfang";"8-12"
466;466;"56130";"Bad Ems";"Arzbacher Str.";"78"
471;471;"80636";"München";"Arnulfstr.";"29"
474;474;"82211";"Herrsching";"Mühlfelder Str.";"48"
477;477;"80339";"München";"Theresienhöhe";"11"
480;480;"93093";"Donaustauf";"Lessingstr.";"18"
481;481;"22459";"Hamburg";"Sellhopsweg";"1"
482;482;"92551";"Stulln";"Werksstr.";"3"
483;483;"";"";"";""
485;485;"35745";"Herborn";"Auf den Lüppen";"10"
489;489;"27472";"Cuxhaven";"Heinz-Lohmann-Straße";"5"
494;494;"35039";"Marburg";"Temmlerstr.";"2"
501;501;"87463";"Dietmannsried";"Heisinger Straße";"6"
502;502;"80333";"München";"Theatinerstr.";"15"
505;505;"52477";"Alsdorf";"Trommsdorffstr.";"2-6"
509;509;"40789";"Monheim";"Alfred-Nobel-Str.";"10"
512;512;"66129";"Saarbrücken";"Industriestraße";"35"
514;514;"82327";"Tutzing";"Hauptstraße";"98"
515;515;"73760";"Ostfildern";"Brunnwiesenstr.";"21"
516;516;"82266";"Inning";"Herrschinger Str.";"33"
518;518;"73087";"Bad Boll/Eckwälden";"Dorfstraße";"1"
524;524;"73525";"Schwäbisch-Gmünd";"Möhlerstr.";"3"
528;528;"65824";"Schwalbach";"Sulzbacher Str.";"40-50"
530;530;"82541";"Münsing-Ambach";"Pilotyweg";"14"
532;532;"13581";"Berlin";"Brunsbütteler Damm";"165-173"
535;535;"41470";"Neuss";"Raiffeisenstr.";"9"
536;536;"71034";"Böblingen";"Calwer Str.";"7"
537;537;"33611";"Bielefeld";"Sudbrackstrasse";"56"
542;542;"76534";"Baden-Baden";"Eckbergstraße";"18"
550;550;"63069";"Offenbach";"Odenwaldring";"44"
556;556;"38667";"Bad Harzburg";"Herzog-Julius-Str.";"83"
561;561;"10785";"Berlin";"Linkstr.";"10"
563;563;"53773";"Hennef";"Josef-Dietzgen-Str.";"3"
566;566;"40211";"Düsseldorf";"Toulouser Allee";"23a"
568;568;"40476";"Düsseldorf";"Johannstr.";"1"
570;570;"22946";"Trittau";"Bunsenstr.";"4"
571;571;"76532";"Baden-Baden";"Gaisbühlstr.";"5a"
573;573;"25421";"Pinneberg";"Siemensstr.";"4"
576;576;"17493";"Greifswald-Insel Riems";"An der Wiek";"7"
579;579;"83670";"Bad Heilbrunn";"Am Krebsenbach";"5-7"
582;582;"40549";"Düsseldorf";"Monschauer Str.";"1"
587;587;"86825";"Bad Wörishofen";"Karl-Benz-Str.";"3"
588;588;"92289";"Ursensollen";"Am Bahnhof";"2"
591;591;"73037";"Göppingen";"Daimlerstr.";"19-21"
595;595;"72348";"Rosenfeld";"Fischermühle";"1"
607;607;"33378";"Rheda-Wiedenbrück";"Röntgenstr.";"4"
608;608;"89423";"Gundelfingen";"Hauptstr.";"27"
613;613;"69257";"Wiesenbach";"Goethestr.";"29"
615;615;"50670";"Köln";"Gereonsmühlengasse";"5"
617;617;"97084";"Würzburg";"Winterhäuser Str.";"85"
622;622;"24109";"Kiel";"Wittland";"13"
